isa	organic_chemical	interacts_with	treats	disease_or_syndrome;	lipid;	antibiotic
affects	cell_function	part_of	part_of	fungus;	cell_component;	tissue
isa	conceptual_entity	property_of	part_of	invertebrate;	nucleotide_sequence;	gene_or_genome
diagnoses	cell_or_molecular_dysfunction	performs	measures	enzyme;	professional_or_occupational_group;	laboratory_procedure	molecular_biology_research_technique	research_activity
performs	educational_activity	associated_with	result_of	cell_function;	population_group;	congenital_abnormality	mental_or_behavioral_dysfunction	acquired_abnormality	neoplastic_process	pathologic_function	cell_or_molecular_dysfunction	disease_or_syndrome	experimental_model_of_disease
result_of	organ_or_tissue_function	disrupts	affects	fish;	injury_or_poisoning;	genetic_function	mental_process	organism_function	cell_function	physiologic_function	organ_or_tissue_function
disrupts	mental_process	diagnoses	manifestation_of	physiologic_function;	pharmacologic_substance;	cell_or_molecular_dysfunction	pathologic_function	neoplastic_process
treats	injury_or_poisoning	prevents	disrupts	fully_formed_anatomical_structure;	medical_device;	injury_or_poisoning
location_of	congenital_abnormality	part_of	surrounds	cell;	cell;	tissue
location_of	genetic_function	developmental_form_of	location_of	cell_function;	embryonic_structure;	tissue	cell
carries_out	educational_activity	manages	performs	molecular_biology_research_technique;	health_care_related_organization;	patient_or_disabled_group
affects	natural_phenomenon_or_process	interacts_with	interacts_with	carbohydrate;	nucleic_acid_nucleoside_or_nucleotide;	amino_acid_peptide_or_protein
disrupts	mental_process	diagnoses	result_of	behavior;	pharmacologic_substance;	disease_or_syndrome	neoplastic_process	pathologic_function	cell_or_molecular_dysfunction
treats	injury_or_poisoning	causes	location_of	bacterium;	medical_device;	acquired_abnormality
diagnoses	neoplastic_process	treats	disrupts	fully_formed_anatomical_structure;	antibiotic;	injury_or_poisoning
precedes	molecular_function	degree_of	precedes	organ_or_tissue_function;	mental_process;	organism_function
co-occurs_with	physiologic_function	precedes	result_of	behavior;	cell_function;	mental_process
location_of	enzyme	isa	interacts_with	invertebrate;	alga;	plant
co-occurs_with	physiologic_function	precedes	result_of	human_caused_phenomenon_or_process;	cell_function;	mental_process	organ_or_tissue_function	organism_function
process_of	fungus	produces	uses	research_device;	organism_function;	age_group	family_group
location_of	vitamin	isa	interacts_with	invertebrate;	alga;	plant
result_of	cell_function	isa	associated_with	cell_or_molecular_dysfunction;	mental_or_behavioral_dysfunction;	disease_or_syndrome
exhibits	behavior	interacts_with	causes	disease_or_syndrome;	animal;	invertebrate
interacts_with	age_group	isa	produces	medical_device;	family_group;	group
affects	physiologic_function	carries_out	process_of	reptile;	gene_or_genome;	molecular_function	genetic_function
isa	conceptual_entity	property_of	part_of	fungus;	nucleotide_sequence;	gene_or_genome
